;precipitacao_sum;internacoes;temp_orvalho_median;p_valor
precipitacao_sum;1.0;0.10077401899950816;0.22492847438054467;0.2539489445451893
internacoes;0.10077401899950816;1.0;0.0798757176603761;
temp_orvalho_median;0.22492847438054467;0.0798757176603761;1.0;0.36632857661384466
