;precipitacao_sum;internacoes;temp_orvalho_median;p_valor
precipitacao_sum;1.0;-0.0013883478829498285;0.14981994082027567;0.9874922973826312
internacoes;-0.0013883478829498285;1.0;-0.41282352705852593;
temp_orvalho_median;0.14981994082027567;-0.41282352705852593;1.0;1.0557482651216978e-06
