;precipitacao_sum;internacoes;temp_orvalho_median;p_valor
precipitacao_sum;1.0;0.05498741409792046;0.05036874897424904;0.5375807568867916
internacoes;0.05498741409792046;1.0;-0.244628614463309;
temp_orvalho_median;0.05036874897424904;-0.244628614463309;1.0;0.005387204733396849
