municipio;ano;mes;internacoes
CACAPAVA DO SUL;2022;5;0
CACAPAVA DO SUL;2022;6;0
CACAPAVA DO SUL;2022;7;0
CACAPAVA DO SUL;2022;8;0
CACAPAVA DO SUL;2022;9;0
CACAPAVA DO SUL;2022;10;0
CACAPAVA DO SUL;2022;11;0
CACAPAVA DO SUL;2022;12;0
CACAPAVA DO SUL;2023;1;0
CACAPAVA DO SUL;2023;2;0
CACAPAVA DO SUL;2023;3;0
CACAPAVA DO SUL;2023;4;0
CACAPAVA DO SUL;2023;5;0
CACAPAVA DO SUL;2023;6;0
CACAPAVA DO SUL;2023;7;0
CACAPAVA DO SUL;2023;8;0
CACAPAVA DO SUL;2023;9;0
CACAPAVA DO SUL;2023;10;0
CACAPAVA DO SUL;2023;11;0
CACAPAVA DO SUL;2023;12;1
CACAPAVA DO SUL;2024;1;3
CACAPAVA DO SUL;2024;2;2
CACAPAVA DO SUL;2024;3;2
CACAPAVA DO SUL;2024;4;1
CACAPAVA DO SUL;2024;5;0
CACAPAVA DO SUL;2024;6;0
CACAPAVA DO SUL;2024;7;1
CACAPAVA DO SUL;2024;8;0
CACAPAVA DO SUL;2024;9;0
CACAPAVA DO SUL;2024;10;0
CACAPAVA DO SUL;2024;11;0
CACAPAVA DO SUL;2024;12;0
CACAPAVA DO SUL;2025;1;0
CACAPAVA DO SUL;2025;2;0
CACAPAVA DO SUL;2025;3;0
CACAPAVA DO SUL;2025;4;0
CACAPAVA DO SUL;2025;5;1
CACAPAVA DO SUL;2025;6;0
CACAPAVA DO SUL;2025;7;0
CACAPAVA DO SUL;2025;8;0
CACAPAVA DO SUL;2025;9;0
CACAPAVA DO SUL;2025;10;0
CACAPAVA DO SUL;2025;11;0
CACAPAVA DO SUL;2025;12;0
CAMAQUA;2015;1;0
CAMAQUA;2015;2;1
CAMAQUA;2015;3;1
CAMAQUA;2015;4;0
CAMAQUA;2015;5;0
CAMAQUA;2015;6;0
CAMAQUA;2015;7;0
CAMAQUA;2015;8;0
CAMAQUA;2015;9;0
CAMAQUA;2015;10;0
CAMAQUA;2015;11;0
CAMAQUA;2015;12;2
CAMAQUA;2016;1;0
CAMAQUA;2016;2;0
CAMAQUA;2016;3;1
CAMAQUA;2016;4;1
CAMAQUA;2016;5;1
CAMAQUA;2016;6;0
CAMAQUA;2016;7;0
CAMAQUA;2016;8;0
CAMAQUA;2016;9;0
CAMAQUA;2016;10;0
CAMAQUA;2016;11;0
CAMAQUA;2016;12;0
CAMAQUA;2017;1;1
CAMAQUA;2017;2;0
CAMAQUA;2017;3;2
CAMAQUA;2017;4;0
CAMAQUA;2017;5;1
CAMAQUA;2017;6;0
CAMAQUA;2017;7;0
CAMAQUA;2017;8;0
CAMAQUA;2017;9;0
CAMAQUA;2017;10;3
CAMAQUA;2017;11;0
CAMAQUA;2017;12;1
CAMAQUA;2018;1;1
CAMAQUA;2018;2;1
CAMAQUA;2018;3;2
CAMAQUA;2018;4;2
CAMAQUA;2018;5;0
CAMAQUA;2018;6;1
CAMAQUA;2018;7;0
CAMAQUA;2018;8;4
CAMAQUA;2018;9;0
CAMAQUA;2018;10;0
CAMAQUA;2018;11;0
CAMAQUA;2018;12;0
CAMAQUA;2019;1;0
CAMAQUA;2019;2;2
CAMAQUA;2019;3;2
CAMAQUA;2019;4;0
CAMAQUA;2019;5;0
CAMAQUA;2019;6;1
CAMAQUA;2019;7;0
CAMAQUA;2019;8;0
CAMAQUA;2019;9;1
CAMAQUA;2019;10;0
CAMAQUA;2019;11;0
CAMAQUA;2019;12;0
