;precipitacao_sum;internacoes;temp_orvalho_median;p_valor
precipitacao_sum;1.0;0.1815533875048293;0.21843268322385112;0.03721501831704787
internacoes;0.1815533875048293;1.0;0.24913625223640531;
temp_orvalho_median;0.21843268322385112;0.24913625223640531;1.0;0.003967932312662936
