Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
431370 PALMEIRA DAS MISSOES;7;7;10;7;8;5;9;5;-;6;-;2;2;7;5;4;9;3;8;9;16;15;13;3;3;4;14;9;4;3;12;1;1;8;5;3;2;3;2;10;8;8;4;5;6;6;11;15;10;10;5;10;1;3;9;11;6;5;5;1;3;1;2;-;2;-;-;-;2;1;4;3;4;-;-;-;-;-;2;-;1;1;4;3;2;2;1;8;4;6;12;6;4;7;2;2;4;2;4;6;11;6;13;6;1;8;4;3;6;3;3;3;5;2;3;6;3;8;7;3;4;-;4;4;9;8;5;5;3;7;1;2
431410 PASSO FUNDO;9;21;23;20;31;26;36;20;26;30;21;12;19;19;18;16;31;17;20;16;31;33;16;18;14;14;16;25;25;37;29;21;18;29;19;21;14;11;12;14;15;38;41;29;23;18;18;17;26;16;21;29;21;22;24;21;17;18;9;12;18;19;12;4;5;6;15;9;7;9;10;18;7;10;15;4;9;8;14;6;12;25;11;12;15;8;11;12;21;23;14;10;13;12;11;12;7;5;8;12;19;12;11;17;14;11;7;10;6;9;8;12;11;16;11;6;7;7;5;13;3;4;6;9;18;10;27;16;8;14;8;2
431490 PORTO ALEGRE;99;110;119;116;158;182;233;151;124;142;136;108;103;88;131;148;169;206;208;198;208;170;141;127;108;90;130;135;152;210;208;154;173;150;130;139;127;97;128;115;121;186;220;186;138;135;120;112;102;63;132;116;130;196;220;214;175;144;161;130;123;113;135;78;82;84;76;84;68;74;74;71;67;49;22;56;90;96;132;119;136;162;140;135;108;72;92;106;186;157;163;173;160;159;155;112;117;81;133;149;171;180;204;198;186;137;129;126;112;110;142;152;169;147;185;206;222;174;149;126;92;89;123;152;207;205;207;176;153;127;134;54
431560 RIO GRANDE;12;9;8;9;14;14;26;19;12;13;10;17;13;13;5;10;17;13;19;17;11;10;7;6;7;8;7;8;8;9;18;13;16;18;13;8;7;2;4;5;8;11;13;8;17;10;16;7;6;5;6;7;12;11;26;33;13;10;17;16;4;8;6;7;5;7;2;2;8;5;3;6;2;5;-;1;1;4;8;9;2;5;1;3;3;2;7;6;13;12;8;6;7;12;7;6;2;-;8;2;2;6;5;7;6;3;3;2;2;3;1;5;1;4;5;3;10;8;5;4;6;7;8;11;6;6;4;3;9;4;6;3
431570 RIO PARDO;-;-;1;1;1;10;16;13;12;12;3;9;9;4;4;7;10;17;11;11;10;15;6;9;7;5;5;2;13;8;13;11;11;7;14;5;20;4;6;3;7;6;11;11;9;3;1;6;2;2;3;2;4;9;5;5;8;7;2;7;-;6;5;1;1;5;5;4;3;3;2;3;2;4;3;3;6;6;7;7;6;7;9;8;2;2;6;1;10;5;11;13;8;8;3;3;2;3;1;6;13;4;7;3;2;2;2;3;3;2;2;1;2;3;1;6;6;2;3;1;1;1;1;2;3;5;5;5;6;3;4;1
431690 SANTA MARIA;7;11;11;11;12;13;9;6;5;12;7;5;6;6;5;1;7;6;11;8;10;11;5;2;2;3;4;8;9;8;11;8;3;5;9;4;7;7;5;8;2;14;11;10;2;6;4;3;8;7;13;10;9;13;10;16;10;12;5;14;12;6;5;2;13;9;8;9;4;10;8;4;11;7;8;5;3;3;9;6;3;7;6;7;6;5;14;7;14;23;25;32;12;18;13;6;8;6;11;11;15;12;17;24;16;20;2;3;12;2;8;8;14;21;21;16;10;11;9;7;2;5;6;9;9;12;10;9;11;13;6;3
431720 SANTA ROSA;10;5;14;13;13;9;13;3;12;11;13;9;5;7;7;8;18;19;9;12;6;7;8;5;6;6;7;5;11;6;13;4;6;10;9;5;5;5;5;3;5;17;5;12;8;11;12;5;2;3;6;4;7;5;4;9;8;2;-;2;4;-;1;1;1;4;6;1;4;-;1;3;-;1;-;-;1;-;2;3;-;2;1;2;1;-;2;-;1;-;2;3;1;2;-;-;-;-;-;1;2;2;1;-;2;2;4;1;4;3;2;3;4;3;3;5;6;3;4;4;2;-;4;-;2;2;1;-;1;1;2;1
431740 SANTIAGO;5;5;7;5;7;12;17;12;17;7;12;8;3;4;11;5;3;8;8;9;3;2;3;5;10;2;3;5;2;4;5;2;7;2;3;3;3;-;5;4;4;3;5;8;8;4;1;4;8;3;8;1;5;5;5;10;9;11;5;8;6;6;3;4;1;5;2;1;3;3;3;4;8;2;-;1;4;6;2;3;3;7;2;6;4;3;4;3;11;9;9;9;7;4;3;6;1;4;5;4;9;9;5;8;5;4;1;1;4;7;4;3;6;7;3;8;12;4;2;8;3;1;4;3;6;6;7;9;6;8;3;-
431780 SANTO AUGUSTO;4;3;5;6;8;5;11;3;12;16;9;11;4;8;11;7;7;11;14;4;6;16;8;9;3;3;11;4;10;9;11;9;15;5;4;7;3;5;11;6;11;7;10;10;9;8;12;5;1;6;6;9;7;9;11;13;14;10;4;9;5;1;6;8;4;2;4;7;6;1;4;1;3;7;-;4;3;3;3;8;5;7;1;5;7;5;11;9;19;18;13;10;11;10;12;9;2;3;9;18;8;11;7;10;8;12;10;10;14;9;10;9;11;11;17;6;10;8;3;-;4;6;3;3;8;9;11;5;13;12;4;3
431800 SAO BORJA;7;7;4;5;7;3;14;2;6;8;7;9;4;1;10;5;12;8;10;18;14;10;9;7;3;6;2;-;3;7;7;3;4;1;2;2;-;1;4;3;3;2;3;10;6;5;3;1;-;-;1;2;4;1;3;9;9;7;1;3;3;2;2;2;3;4;3;4;1;4;5;3;4;6;2;4;2;4;2;5;3;1;3;7;3;4;5;2;4;3;-;4;2;1;1;1;2;2;-;1;1;2;-;2;2;1;4;1;3;3;8;4;4;10;14;9;10;10;5;4;6;4;6;3;10;12;9;6;4;-;-;-
432080 SOLEDADE;13;8;11;10;7;8;18;11;15;12;17;8;7;3;8;6;3;12;11;13;11;14;4;3;7;15;13;8;14;25;24;14;16;25;18;6;9;9;11;17;17;15;11;14;21;17;13;11;6;4;13;9;15;13;19;10;8;13;15;8;9;1;4;3;3;7;4;7;3;11;8;6;7;9;5;10;7;4;15;16;14;16;13;6;15;7;9;24;25;27;17;16;23;12;9;5;13;1;7;8;15;18;18;3;12;10;11;19;9;12;26;18;21;10;10;21;19;22;8;11;8;3;2;5;12;3;14;7;1;2;3;-
432145 TEUTONIA;9;6;10;6;11;7;10;3;10;9;7;6;4;2;6;1;9;4;9;5;5;7;9;3;5;5;3;4;6;8;9;6;2;4;6;2;3;-;4;1;3;5;8;7;7;1;4;3;2;-;2;-;1;5;4;4;3;2;3;-;2;-;-;1;2;3;2;3;3;-;1;-;-;1;-;-;2;-;1;1;-;-;3;3;3;-;-;2;5;4;4;-;2;1;1;2;2;-;-;1;1;-;1;1;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;1;2;1;1;-;-;2;2
432150 TORRES;4;1;2;5;4;2;5;5;5;6;4;2;4;3;2;1;4;4;3;2;3;7;5;5;1;1;1;-;1;3;-;-;2;2;2;1;4;-;1;1;1;6;3;3;2;3;6;3;-;3;1;2;5;2;4;-;5;6;6;2;3;2;-;3;-;3;2;-;1;-;1;-;2;-;-;2;-;4;-;1;3;-;1;2;2;2;1;-;3;1;2;2;1;2;1;3;3;1;2;1;5;2;1;5;1;3;-;1;1;-;1;1;1;2;3;-;-;1;1;1;1;1;1;-;1;-;1;-;3;1;-;-
432160 TRAMANDAI;1;3;5;5;3;6;4;6;2;1;3;7;3;3;6;3;6;5;3;11;5;4;2;3;4;4;3;-;4;3;5;5;6;8;2;-;3;4;-;-;3;3;5;1;2;2;3;2;2;2;6;1;3;3;6;9;2;3;3;1;7;2;4;4;2;2;1;2;-;-;-;-;1;1;-;1;2;3;2;1;1;-;2;3;2;-;5;1;1;4;3;1;4;-;-;1;-;2;1;3;3;4;2;7;5;4;5;1;4;1;-;3;4;3;5;6;4;3;1;5;3;4;1;4;4;5;4;8;5;2;1;1
432240 URUGUAIANA;5;2;7;5;16;20;33;8;7;7;5;3;8;2;4;7;10;22;29;10;20;8;9;8;6;5;9;10;12;21;25;20;8;7;1;8;7;1;5;4;6;6;11;14;6;5;4;6;3;2;2;2;4;19;31;15;4;12;8;7;6;7;4;3;4;3;-;4;2;-;3;1;1;1;-;1;3;3;-;4;3;4;2;3;6;4;1;3;8;22;7;12;8;1;8;2;3;2;3;2;8;5;6;10;10;6;4;3;1;5;5;2;7;10;11;14;9;2;6;1;6;2;2;3;8;12;15;11;4;1;2;-
432250 VACARIA;3;6;8;7;4;4;7;10;13;5;7;5;3;3;2;3;7;5;4;10;6;2;7;11;3;5;7;7;7;5;9;3;1;4;7;3;2;5;6;5;3;3;10;12;5;9;7;3;6;7;6;5;5;6;6;8;8;4;7;3;1;1;2;-;2;1;3;5;2;4;3;5;1;1;2;1;12;2;7;3;2;1;4;3;5;2;5;5;6;2;7;3;2;6;6;5;5;5;3;6;14;7;9;6;6;4;4;4;4;11;8;6;2;6;14;7;5;7;8;4;5;5;5;4;11;5;9;6;4;5;4;2
