Município;2015/Jan;2015/Fev;2015/Mar;2015/Abr;2015/Mai;2015/Jun;2015/Jul;2015/Ago;2015/Set;2015/Out;2015/Nov;2015/Dez;2016/Jan;2016/Fev;2016/Mar;2016/Abr;2016/Mai;2016/Jun;2016/Jul;2016/Ago;2016/Set;2016/Out;2016/Nov;2016/Dez;2017/Jan;2017/Fev;2017/Mar;2017/Abr;2017/Mai;2017/Jun;2017/Jul;2017/Ago;2017/Set;2017/Out;2017/Nov;2017/Dez;2018/Jan;2018/Fev;2018/Mar;2018/Abr;2018/Mai;2018/Jun;2018/Jul;2018/Ago;2018/Set;2018/Out;2018/Nov;2018/Dez;2019/Jan;2019/Fev;2019/Mar;2019/Abr;2019/Mai;2019/Jun;2019/Jul;2019/Ago;2019/Set;2019/Out;2019/Nov;2019/Dez;2020/Jan;2020/Fev;2020/Mar;2020/Abr;2020/Mai;2020/Jun;2020/Jul;2020/Ago;2020/Set;2020/Out;2020/Nov;2020/Dez;2021/Jan;2021/Fev;2021/Mar;2021/Abr;2021/Mai;2021/Jun;2021/Jul;2021/Ago;2021/Set;2021/Out;2021/Nov;2021/Dez;2022/Jan;2022/Fev;2022/Mar;2022/Abr;2022/Mai;2022/Jun;2022/Jul;2022/Ago;2022/Set;2022/Out;2022/Nov;2022/Dez;2023/Jan;2023/Fev;2023/Mar;2023/Abr;2023/Mai;2023/Jun;2023/Jul;2023/Ago;2023/Set;2023/Out;2023/Nov;2023/Dez;2024/Jan;2024/Fev;2024/Mar;2024/Abr;2024/Mai;2024/Jun;2024/Jul;2024/Ago;2024/Set;2024/Out;2024/Nov;2024/Dez;2025/Jan;2025/Fev;2025/Mar;2025/Abr;2025/Mai;2025/Jun;2025/Jul;2025/Ago;2025/Set;2025/Out;2025/Nov;2025/Dez
431130 LAGOA VERMELHA;1;2;1;1;1;2;2;-;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
431370 PALMEIRA DAS MISSOES;-;1;1;2;4;1;2;-;-;-;1;1;-;1;-;-;1;1;2;1;1;-;-;-;-;-;-;-;1;1;1;-;-;-;-;-;-;2;1;3;1;3;-;-;-;1;-;-;-;-;1;-;-;1;4;-;-;1;-;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-
431410 PASSO FUNDO;43;29;37;50;38;42;50;56;39;28;42;47;56;44;60;38;36;46;60;45;39;34;35;72;56;33;41;55;44;39;60;49;47;54;54;45;36;27;60;53;48;47;47;55;48;57;60;46;73;75;69;95;71;84;61;81;80;65;77;97;84;60;80;107;77;92;121;99;99;104;92;57;94;82;75;65;81;85;78;98;95;85;77;104;62;77;60;66;94;72;81;67;67;65;71;65;68;62;84;109;77;95;73;97;102;138;101;97;110;96;86;127;80;90;90;119;83;105;93;106;86;72;104;119;88;126;92;97;85;94;93;43
431490 PORTO ALEGRE;177;167;226;201;203;188;239;219;245;231;233;242;205;165;193;194;213;215;217;225;216;218;196;226;232;204;220;222;243;240;217;229;217;184;237;242;252;185;219;203;193;208;211;224;196;211;249;222;230;182;238;162;227;203;230;210;246;239;239;258;200;188;205;236;247;235;246;258;267;252;234;239;253;204;189;206;276;270;277;304;288;282;237;246;254;280;314;294;278;328;308;320;283;346;296;286;343;251;285;323;328;303;310;340;314;307;307;280;292;262;304;329;338;390;326;307;322;308;308;317;300;288;265;271;305;308;354;330;358;314;241;64
431560 RIO GRANDE;48;42;43;33;31;59;49;46;54;49;62;38;50;39;45;44;45;54;59;59;51;50;32;23;46;34;44;31;33;34;32;48;44;47;45;30;39;30;52;28;32;48;46;55;50;45;45;35;53;33;41;38;55;51;63;56;60;40;52;35;39;45;33;29;35;34;35;34;40;49;56;39;61;36;32;30;50;45;34;30;30;21;29;33;43;47;38;38;30;29;45;53;51;30;31;34;31;25;36;39;24;29;43;36;24;28;30;30;34;36;33;47;34;32;32;28;21;39;42;27;31;26;19;33;36;36;34;34;43;36;23;19
431570 RIO PARDO;-;-;1;2;3;2;3;1;2;-;-;-;-;1;-;1;2;2;-;2;1;1;1;-;1;-;-;3;2;2;2;-;-;2;1;2;1;-;2;1;2;-;3;1;2;1;3;-;1;3;1;1;1;-;-;-;1;-;-;2;-;1;-;2;1;3;-;1;-;1;1;1;1;1;1;1;4;2;2;2;3;1;-;-;2;-;-;1;1;-;-;1;-;-;-;-;-;1;1;1;2;-;-;1;1;-;2;1;-;3;3;3;4;1;8;3;4;7;2;4;6;3;8;4;8;5;5;5;7;6;1;1
431690 SANTA MARIA;8;12;9;12;13;17;10;9;17;10;19;17;13;11;7;16;10;15;13;20;20;20;6;10;14;22;11;5;10;5;18;11;8;3;3;4;15;11;13;22;13;21;16;21;15;25;17;15;20;12;13;22;23;12;16;19;23;30;23;21;20;16;17;19;22;12;12;11;6;7;6;5;6;8;6;7;8;4;9;12;25;15;14;23;20;20;15;19;22;31;25;31;35;42;36;25;34;40;28;35;39;38;28;20;38;34;35;44;34;29;43;40;39;42;32;40;32;30;30;37;41;39;21;32;51;35;52;33;47;23;9;5
431720 SANTA ROSA;2;1;2;4;-;1;-;4;-;-;1;-;-;-;3;2;2;-;-;2;-;3;3;3;-;-;-;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;2;1;1;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;2;2;2;2;2;2;3;2;1;3;5;4;2;2;5;4;2;1;5;5;1;5;9;5;5;5;9;3;3
431740 SANTIAGO;3;2;4;3;4;2;3;7;2;4;3;4;5;5;1;1;5;1;4;3;1;3;1;3;2;1;2;2;1;2;7;2;3;-;3;6;2;-;-;6;3;3;1;3;8;5;4;2;2;1;1;3;3;4;3;1;5;3;2;-;3;1;2;1;3;-;2;2;3;1;3;5;-;-;1;-;2;2;2;2;-;2;1;1;1;1;1;2;2;2;2;2;1;2;2;-;2;1;3;3;5;3;1;-;1;3;1;-;-;2;2;-;3;2;-;2;1;2;2;2;-;2;-;-;-;-;1;1;-;1;-;-
431780 SANTO AUGUSTO;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-
431800 SAO BORJA;5;2;4;3;1;2;-;1;5;3;5;2;3;3;8;1;1;3;4;7;3;4;9;5;6;3;5;2;8;8;5;5;6;8;8;-;6;4;8;8;7;5;3;7;4;5;2;4;3;3;3;6;5;2;4;7;4;2;3;2;1;2;3;3;7;6;2;3;4;4;7;2;11;7;1;2;3;1;3;9;5;5;4;1;7;6;9;7;5;10;5;7;7;3;7;7;2;7;1;4;5;7;7;6;10;4;4;6;7;3;11;3;2;4;7;7;2;6;9;8;3;3;9;5;5;6;4;9;3;4;-;-
432080 SOLEDADE;-;1;2;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3;-;-;-;-;1;-;-;-;-;-;-;3;3;-;-;-;-;-;-;-;2;2;3;-;-;-;2;-;2;-;1;-;1;1;1;-;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;1;-
432145 TEUTONIA;-;1;-;3;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
432150 TORRES;2;7;5;7;3;7;12;8;10;6;10;10;9;5;5;10;7;4;6;11;7;8;4;6;14;9;10;8;4;5;13;2;3;7;3;5;11;6;4;7;3;7;7;4;6;8;9;12;7;8;13;5;6;6;17;13;9;8;2;7;10;13;11;5;6;6;10;11;6;6;8;8;6;5;4;6;9;11;16;10;7;6;2;5;7;7;6;10;4;8;11;7;6;7;4;9;3;5;8;3;8;4;13;7;10;7;8;4;5;7;7;6;10;4;6;5;12;8;11;14;8;3;7;8;7;10;1;6;6;2;4;-
432160 TRAMANDAI;18;15;10;8;9;10;12;10;7;7;10;11;11;11;5;6;10;10;7;11;6;8;15;7;15;9;12;8;7;8;12;9;13;11;7;8;10;11;3;6;7;10;5;5;8;8;13;10;8;9;13;11;13;8;8;10;7;7;13;9;18;19;10;5;13;4;12;10;8;7;12;9;8;12;9;1;7;7;8;16;13;11;5;4;7;9;8;11;14;13;6;20;8;11;8;12;17;15;11;12;7;9;6;8;11;14;11;17;14;10;16;13;11;17;17;11;5;17;12;13;13;19;16;24;6;20;25;25;21;11;8;3
432240 URUGUAIANA;8;5;12;5;20;10;15;6;12;10;16;7;14;9;17;11;11;14;21;24;18;15;15;10;12;10;8;24;21;16;17;10;12;35;19;11;18;10;11;14;12;18;24;17;26;12;4;2;12;4;7;4;4;3;1;2;4;4;2;2;3;4;4;2;6;3;1;2;9;-;1;3;4;4;3;1;3;2;11;6;3;15;5;2;7;2;1;12;11;9;10;16;10;7;8;13;7;10;9;12;6;6;14;10;6;5;9;5;8;6;6;8;3;3;5;9;6;4;5;4;12;7;7;7;8;5;11;2;3;3;2;-
432250 VACARIA;6;3;4;4;5;4;5;6;9;9;5;3;8;8;3;6;9;13;10;6;5;7;9;10;15;6;8;5;4;7;15;6;4;11;9;8;4;8;9;13;9;5;8;3;12;6;4;11;10;9;11;12;6;5;8;2;8;3;7;9;6;-;5;6;4;6;6;6;2;4;5;6;4;4;12;3;8;4;7;2;4;9;1;6;5;7;13;19;15;16;13;5;8;3;8;5;7;10;8;10;10;6;7;5;12;13;9;10;6;12;8;14;15;8;3;11;7;8;10;9;5;6;12;9;12;5;10;8;13;12;12;9
